"model","q_025","q_500","q_975","point_estimate","CI"
"Flat prior",1.57961033218935,1.93049597347379,2.33099569314566,1.9305,"[1.5796, 2.331]"
"Gibbs sampler",1.54161583104677,1.89008956577406,2.28405656062863,1.8901,"[1.5416, 2.2841]"
